student_id,subject_id,mid,final,total
2251162100,ATTT101,7.2,9.5,8.3
2251162100,ATTT102,7.0,8.8,7.9
2251162100,ATTT103,8.5,8.6,8.6
2251162101,ATTT102,6.5,9.5,8.0
2251162101,ATTT103,6.1,9.1,7.6
2251162101,ATTT101,8.7,7.7,8.2
2251162102,TTNT103,6.0,7.5,6.8
2251162102,TTNT102,8.7,9.3,9.0
2251162102,TTNT101,6.9,6.2,6.6
2251162103,TTNT102,8.9,8.4,8.7
2251162103,TTNT103,8.5,6.3,7.4
2251162103,TTNT101,7.2,8.6,7.9
2251162104,TTNT102,8.1,6.1,7.1
2251162104,TTNT101,8.6,7.9,8.2
2251162104,TTNT103,7.4,7.1,7.2
2251162105,CNPM102,8.7,7.5,8.1
2251162105,CNPM101,6.8,7.2,7.0
2251162105,CNPM103,6.6,9.2,7.9
2251162106,ATTT103,6.9,8.3,7.6
2251162106,ATTT102,8.0,6.4,7.2
2251162106,ATTT101,8.8,9.3,9.1
2251162107,ATTT103,6.4,7.4,6.9
2251162107,ATTT101,7.7,6.3,7.0
2251162107,ATTT102,8.1,9.3,8.7
2251162108,CNPM102,8.2,6.9,7.5
2251162108,CNPM103,6.9,6.2,6.6
2251162108,CNPM101,6.5,8.9,7.7
2251162109,HTTT101,7.3,6.6,6.9
2251162109,HTTT103,8.3,8.0,8.2
2251162109,HTTT102,8.1,9.2,8.6
2251162110,HTTT104,6.7,7.9,7.3
2251162110,HTTT102,6.8,9.5,8.2
2251162110,HTTT103,6.5,8.7,7.6
2251162111,TTNT103,8.8,8.9,8.9
2251162111,TTNT102,7.9,9.0,8.4
2251162111,TTNT101,8.2,9.1,8.6
2251162112,ATTT103,6.4,7.2,6.8
2251162112,ATTT101,6.5,7.6,7.0
2251162112,ATTT102,8.7,6.5,7.6
2251162113,HTTT102,7.3,8.0,7.7
2251162113,HTTT101,6.4,8.5,7.5
2251162113,HTTT104,6.4,6.9,6.7
2251162113,HTTT103,7.3,7.2,7.2
2251162114,CNPM102,6.1,9.5,7.8
2251162114,CNPM103,6.6,7.2,6.9
2251162114,CNPM101,6.6,8.1,7.3
2251162115,CNPM102,8.5,9.2,8.8
2251162115,CNPM103,7.6,7.9,7.8
2251162115,CNPM101,7.4,6.1,6.8
2251162116,ATTT102,8.0,7.3,7.7
2251162116,ATTT103,8.9,7.2,8.1
2251162116,ATTT101,8.2,9.1,8.6
2251162117,TTNT103,9.0,7.3,8.2
2251162117,TTNT102,6.9,6.7,6.8
2251162117,TTNT101,6.0,6.3,6.2
2251162118,ATTT102,6.0,8.5,7.2
2251162118,ATTT103,8.2,6.2,7.2
2251162118,ATTT101,7.9,6.3,7.1
2251162119,CNPM102,8.9,8.9,8.9
2251162119,CNPM101,6.9,8.3,7.6
2251162119,CNPM103,6.4,9.3,7.9
2251162120,CNPM102,7.3,7.2,7.2
2251162120,CNPM101,6.4,6.9,6.7
2251162120,CNPM103,6.0,6.3,6.2
2251162121,TTNT102,8.2,7.7,7.9
2251162121,TTNT103,8.9,8.3,8.6
2251162121,TTNT101,6.0,7.7,6.8
2251162122,HTTT103,7.8,8.8,8.3
2251162122,HTTT102,8.8,6.3,7.6
2251162122,HTTT104,6.9,6.0,6.5
2251162123,CNPM102,6.7,7.2,7.0
2251162123,CNPM101,7.3,8.5,7.9
2251162123,CNPM103,6.9,8.7,7.8
2251162124,HTTT101,6.9,7.1,7.0
2251162124,HTTT103,6.1,7.6,6.8
2251162124,HTTT102,9.0,8.1,8.6
2251162124,HTTT104,8.9,7.2,8.1
2251162125,HTTT101,8.0,8.1,8.1
2251162125,HTTT102,8.7,9.5,9.1
2251162125,HTTT103,7.7,8.7,8.2
2251162125,HTTT104,8.2,6.9,7.5
2251162126,HTTT103,7.1,6.3,6.7
2251162126,HTTT101,8.1,7.6,7.8
2251162126,HTTT102,7.6,6.1,6.8
2251162126,HTTT104,7.2,8.9,8.1
2251162127,CNPM102,7.9,9.1,8.5
2251162127,CNPM103,7.8,8.5,8.2
2251162127,CNPM101,6.1,8.7,7.4
2251162128,ATTT103,8.4,6.2,7.3
2251162128,ATTT101,7.6,7.3,7.4
2251162128,ATTT102,8.1,6.9,7.5
2251162129,ATTT103,7.5,6.5,7.0
2251162129,ATTT101,7.2,7.9,7.6
2251162129,ATTT102,6.4,6.0,6.2
2251162130,CNPM101,8.9,9.4,9.2
2251162130,CNPM102,8.0,6.6,7.3
2251162130,CNPM103,6.5,8.0,7.2
2251162131,ATTT103,6.9,8.2,7.5
2251162131,ATTT102,8.1,8.5,8.3
2251162131,ATTT101,7.1,6.5,6.8
2251162132,ATTT102,6.8,9.4,8.1
2251162132,ATTT103,7.5,9.2,8.3
2251162132,ATTT101,8.9,8.1,8.5
2251162133,ATTT102,8.4,8.9,8.7
2251162133,ATTT103,7.9,8.4,8.2
2251162133,ATTT101,8.9,7.5,8.2
2251162134,CNPM103,6.8,6.5,6.7
2251162134,CNPM101,7.9,9.3,8.6
2251162134,CNPM102,7.6,6.1,6.8
2251162135,CNPM101,8.7,7.3,8.0
2251162135,CNPM102,8.6,9.5,9.1
2251162135,CNPM103,8.6,6.4,7.5
2251162136,HTTT103,6.4,9.4,7.9
2251162136,HTTT102,6.4,8.2,7.3
2251162136,HTTT104,6.4,9.5,8.0
2251162137,TTNT102,8.1,7.7,7.9
2251162137,TTNT101,8.0,7.8,7.9
2251162137,TTNT103,7.1,7.1,7.1
2251162138,HTTT101,7.9,9.0,8.4
2251162138,HTTT103,8.6,7.5,8.1
2251162138,HTTT104,8.1,7.0,7.5
2251162138,HTTT102,6.2,7.9,7.1
2251162139,HTTT101,7.9,7.4,7.7
2251162139,HTTT104,8.0,6.4,7.2
2251162139,HTTT103,6.0,6.4,6.2
2251162140,TTNT101,6.6,7.0,6.8
2251162140,TTNT103,8.2,7.2,7.7
2251162140,TTNT102,8.7,8.0,8.3
2251162141,CNPM102,8.2,8.5,8.3
2251162141,CNPM101,8.2,8.7,8.4
2251162141,CNPM103,6.8,6.9,6.8
2251162142,CNPM101,6.7,6.6,6.7
2251162142,CNPM103,6.8,7.3,7.0
2251162142,CNPM102,8.8,7.1,8.0
2251162143,CNPM101,7.9,7.7,7.8
2251162143,CNPM102,7.3,8.1,7.7
2251162143,CNPM103,8.7,7.9,8.3
2251162144,HTTT104,6.7,7.7,7.2
2251162144,HTTT101,9.0,8.3,8.7
2251162144,HTTT102,7.3,8.4,7.8
2251162144,HTTT103,7.1,8.5,7.8
2251162145,TTNT103,6.6,6.9,6.8
2251162145,TTNT101,6.3,7.3,6.8
2251162145,TTNT102,8.1,6.2,7.2
2251162146,HTTT104,7.3,7.2,7.2
2251162146,HTTT103,7.3,6.0,6.7
2251162146,HTTT102,6.8,6.7,6.8
2251162146,HTTT101,8.7,8.2,8.4
2251162147,HTTT101,8.2,9.3,8.8
2251162147,HTTT104,7.0,6.9,7.0
2251162147,HTTT103,6.3,9.0,7.7
2251162148,TTNT102,6.8,7.6,7.2
2251162148,TTNT103,6.8,8.6,7.7
2251162148,TTNT101,7.9,8.4,8.2
2251162149,CNPM102,6.3,9.4,7.8
2251162149,CNPM103,8.8,7.6,8.2
2251162149,CNPM101,6.1,8.0,7.0
2251162150,ATTT101,6.7,8.7,7.7
2251162150,ATTT102,6.7,7.0,6.8
2251162150,ATTT103,7.2,6.1,6.7
2251162151,ATTT102,8.0,9.5,8.8
2251162151,ATTT103,8.4,6.1,7.2
2251162151,ATTT101,8.6,7.2,7.9
2251162152,ATTT102,9.0,7.9,8.4
2251162152,ATTT101,6.6,7.5,7.0
2251162152,ATTT103,7.2,8.8,8.0
2251162153,HTTT102,6.9,8.7,7.8
2251162153,HTTT103,7.2,6.2,6.7
2251162153,HTTT101,8.8,6.7,7.8
2251162153,HTTT104,8.1,7.7,7.9
2251162154,CNPM101,8.0,7.3,7.7
2251162154,CNPM102,6.3,9.1,7.7
2251162154,CNPM103,7.9,8.3,8.1
2251162155,ATTT102,6.7,6.3,6.5
2251162155,ATTT103,7.0,6.4,6.7
2251162155,ATTT101,8.0,8.4,8.2
2251162156,CNPM103,6.7,6.0,6.3
2251162156,CNPM102,8.3,7.4,7.9
2251162156,CNPM101,8.7,6.9,7.8
2251162157,CNPM103,6.7,6.8,6.8
2251162157,CNPM101,8.4,7.8,8.1
2251162157,CNPM102,7.1,6.4,6.8
2251162158,HTTT104,7.9,6.8,7.3
2251162158,HTTT103,7.8,6.2,7.0
2251162158,HTTT102,6.8,8.9,7.8
2251162158,HTTT101,8.4,7.3,7.8
2251162159,HTTT102,7.9,7.3,7.6
2251162159,HTTT101,7.7,7.9,7.8
2251162159,HTTT103,8.6,6.8,7.7
2251162160,CNPM101,6.3,9.4,7.8
2251162160,CNPM102,8.4,8.8,8.6
2251162160,CNPM103,7.1,6.9,7.0
2251162161,HTTT102,8.3,7.1,7.7
2251162161,HTTT103,7.9,9.0,8.4
2251162161,HTTT101,7.2,9.1,8.2
2251162162,ATTT102,8.2,6.8,7.5
2251162162,ATTT103,7.7,7.3,7.5
2251162162,ATTT101,6.3,9.4,7.8
2251162163,ATTT102,8.4,8.7,8.6
2251162163,ATTT103,7.5,9.4,8.4
2251162163,ATTT101,7.8,7.0,7.4
2251162164,HTTT102,8.1,7.7,7.9
2251162164,HTTT104,7.2,7.6,7.4
2251162164,HTTT103,8.8,6.6,7.7
2251162164,HTTT101,6.1,8.5,7.3
2251162165,TTNT101,9.0,7.4,8.2
2251162165,TTNT102,7.5,7.9,7.7
2251162165,TTNT103,7.4,6.2,6.8
2251162166,CNPM102,7.8,7.4,7.6
2251162166,CNPM101,9.0,8.4,8.7
2251162166,CNPM103,7.9,9.2,8.6
2251162167,HTTT102,8.8,6.2,7.5
2251162167,HTTT104,8.4,9.3,8.9
2251162167,HTTT101,6.0,8.9,7.5
2251162168,TTNT103,8.3,7.4,7.9
2251162168,TTNT102,8.4,8.5,8.4
2251162168,TTNT101,6.2,8.7,7.4
2251162169,ATTT101,8.2,7.0,7.6
2251162169,ATTT102,6.1,6.9,6.5
2251162169,ATTT103,6.3,7.2,6.8
2251162170,ATTT102,8.6,8.5,8.6
2251162170,ATTT101,7.2,6.6,6.9
2251162170,ATTT103,6.1,7.6,6.8
2251162171,CNPM101,8.2,8.3,8.2
2251162171,CNPM102,7.6,6.7,7.2
2251162171,CNPM103,7.3,9.3,8.3
2251162172,TTNT103,8.9,8.2,8.6
2251162172,TTNT101,8.5,9.2,8.8
2251162172,TTNT102,6.6,7.6,7.1
2251162173,TTNT103,6.7,6.9,6.8
2251162173,TTNT101,7.4,9.2,8.3
2251162173,TTNT102,6.4,8.7,7.5
2251162174,CNPM102,8.8,7.1,8.0
2251162174,CNPM103,8.4,6.3,7.3
2251162174,CNPM101,8.5,6.3,7.4
2251162175,CNPM103,6.9,8.2,7.5
2251162175,CNPM101,6.1,7.2,6.7
2251162175,CNPM102,6.6,7.7,7.2
2251162176,TTNT103,7.1,7.6,7.3
2251162176,TTNT101,6.7,7.9,7.3
2251162176,TTNT102,8.1,6.8,7.4
2251162177,TTNT102,6.1,8.2,7.1
2251162177,TTNT103,8.5,6.1,7.3
2251162177,TTNT101,6.8,6.4,6.6
2251162178,HTTT104,8.7,7.7,8.2
2251162178,HTTT103,6.5,6.8,6.7
2251162178,HTTT102,6.2,8.1,7.2
2251162179,CNPM102,6.1,6.9,6.5
2251162179,CNPM103,8.0,6.3,7.2
2251162179,CNPM101,7.4,6.4,6.9
2251162180,CNPM103,6.2,7.3,6.8
2251162180,CNPM101,7.0,8.8,7.9
2251162180,CNPM102,6.1,9.2,7.6
2251162181,TTNT101,6.7,7.6,7.2
2251162181,TTNT102,8.5,7.2,7.8
2251162181,TTNT103,7.5,8.5,8.0
2251162182,CNPM103,7.2,8.4,7.8
2251162182,CNPM101,7.9,8.8,8.4
2251162182,CNPM102,7.9,8.6,8.2
2251162183,ATTT101,7.4,9.0,8.2
2251162183,ATTT102,7.1,7.5,7.3
2251162183,ATTT103,8.5,6.6,7.5
2251162184,TTNT102,7.9,8.3,8.1
2251162184,TTNT103,8.6,6.4,7.5
2251162184,TTNT101,7.1,7.4,7.2
2251162185,ATTT102,6.6,6.9,6.8
2251162185,ATTT103,6.3,7.8,7.0
2251162185,ATTT101,6.8,9.4,8.1
2251162186,TTNT101,7.8,8.7,8.2
2251162186,TTNT103,6.1,7.5,6.8
2251162186,TTNT102,8.4,8.0,8.2
2251162187,CNPM103,7.0,7.1,7.0
2251162187,CNPM101,6.3,7.9,7.1
2251162187,CNPM102,7.4,7.7,7.6
2251162188,ATTT103,8.8,6.8,7.8
2251162188,ATTT102,6.7,6.4,6.6
2251162188,ATTT101,8.0,9.3,8.7
2251162189,HTTT104,7.2,6.5,6.8
2251162189,HTTT101,6.8,8.3,7.6
2251162189,HTTT103,6.2,7.3,6.8
2251162190,HTTT104,8.4,9.1,8.8
2251162190,HTTT101,7.3,8.0,7.7
2251162190,HTTT103,6.6,8.1,7.3
2251162191,HTTT103,7.7,6.9,7.3
2251162191,HTTT102,6.9,8.9,7.9
2251162191,HTTT104,8.8,7.4,8.1
2251162191,HTTT101,8.2,7.6,7.9
2251162192,HTTT102,8.0,7.5,7.8
2251162192,HTTT103,6.1,8.7,7.4
2251162192,HTTT104,6.9,6.8,6.8
2251162192,HTTT101,6.3,7.2,6.8
2251162193,CNPM103,7.5,9.2,8.3
2251162193,CNPM102,6.1,8.3,7.2
2251162193,CNPM101,7.3,8.1,7.7
2251162194,CNPM103,8.0,7.4,7.7
2251162194,CNPM102,6.2,8.3,7.2
2251162194,CNPM101,6.6,8.6,7.6
2251162195,ATTT103,6.2,8.4,7.3
2251162195,ATTT101,8.5,9.2,8.8
2251162195,ATTT102,6.1,7.2,6.7
2251162196,ATTT102,7.3,7.4,7.3
2251162196,ATTT103,7.6,7.6,7.6
2251162196,ATTT101,7.7,7.6,7.7
2251162197,ATTT101,8.1,7.0,7.5
2251162197,ATTT103,6.3,6.9,6.6
2251162197,ATTT102,8.1,9.4,8.8
2251162198,CNPM102,8.5,6.5,7.5
2251162198,CNPM103,7.4,9.4,8.4
2251162198,CNPM101,6.2,8.1,7.2
2251162199,CNPM103,6.2,7.0,6.6
2251162199,CNPM101,6.7,6.2,6.5
2251162199,CNPM102,8.0,9.5,8.8
2251162100,CNPM101,7.5,8.2,7.9
2251162100,TTNT101,6.8,9.0,7.9
2251162101,HTTT101,8.0,7.5,7.8
2251162101,CNPM102,6.5,8.8,7.7
2251162102,ATTT101,7.2,6.4,6.8
2251162102,HTTT102,8.5,7.9,8.2
2251162103,ATTT102,6.0,8.2,7.1
2251162103,CNPM101,7.8,9.1,8.5
2251162104,HTTT101,8.2,7.3,7.8
2251162104,ATTT101,6.9,8.5,7.7
2251162105,ATTT102,7.4,6.8,7.1
2251162105,HTTT104,8.1,9.0,8.6
2251162106,TTNT101,6.5,7.7,7.1
2251162106,HTTT102,7.9,8.3,8.1
2251162107,CNPM102,8.8,7.2,8.0
2251162107,TTNT103,6.2,8.9,7.6
2251162108,ATTT101,7.0,6.5,6.8
2251162108,HTTT104,8.4,7.8,8.1
2251162109,CNPM101,6.7,8.2,7.5
2251162109,ATTT101,8.0,7.6,7.8
2251162110,TTNT101,7.3,9.2,8.3
2251162110,CNPM101,6.9,7.5,7.2
2251162111,CNPM101,8.5,8.0,8.3
2251162111,HTTT101,7.1,6.9,7.0
2251162112,TTNT101,6.4,8.7,7.6
2251162112,HTTT104,8.2,7.3,7.8
2251162113,ATTT101,7.7,6.8,7.3
2251162113,CNPM102,8.9,9.0,9.0
2251162114,ATTT101,6.6,7.5,7.1
2251162114,TTNT101,8.3,8.1,8.2
2251162115,HTTT101,7.5,6.9,7.2
2251162115,ATTT101,8.1,7.8,8.0
2251162116,CNPM101,6.8,8.4,7.6
2251162116,HTTT102,7.2,9.2,8.2
2251162117,HTTT101,8.4,7.1,7.8
2251162117,CNPM101,6.5,8.0,7.3
2251162118,HTTT101,7.9,6.7,7.3
2251162118,CNPM101,8.6,8.8,8.7
2251162119,ATTT101,6.3,7.5,6.9
2251162119,HTTT103,7.8,9.0,8.4
2251162120,ATTT101,8.2,6.9,7.6
2251162120,HTTT102,7.4,8.5,8.0
2251162121,HTTT101,6.7,7.8,7.3
2251162121,CNPM101,8.0,9.2,8.6
2251162122,CNPM101,7.5,6.6,7.1
2251162122,TTNT101,8.1,8.4,8.3
2251162123,ATTT101,6.9,7.7,7.3
2251162123,HTTT101,8.3,6.8,7.6
2251162124,CNPM101,7.4,8.9,8.2
2251162124,TTNT101,8.0,7.2,7.6
2251162125,CNPM101,6.2,8.5,7.4
2251162125,ATTT101,7.9,7.3,7.6
2251162126,ATTT101,8.5,6.7,7.6
2251162126,CNPM101,7.1,9.0,8.1
2251162127,ATTT101,6.4,8.2,7.3
2251162127,HTTT101,8.6,7.5,8.1
2251162128,CNPM101,7.8,6.9,7.4
2251162128,TTNT101,8.2,8.4,8.3
2251162129,HTTT101,6.5,7.7,7.1
2251162129,CNPM101,8.0,9.1,8.6
2251162130,ATTT101,7.3,6.8,7.1
2251162130,HTTT101,8.4,8.2,8.3
2251162131,CNPM101,6.9,7.5,7.2
2251162131,HTTT101,8.7,9.0,8.9
2251162132,CNPM101,7.6,6.4,7.0
2251162132,HTTT102,8.1,7.9,8.0
2251162133,TTNT101,6.2,8.5,7.4
2251162133,HTTT101,7.9,7.3,7.6
2251162134,ATTT101,8.5,6.7,7.6
2251162134,HTTT101,7.1,9.0,8.1
2251162135,HTTT101,6.4,8.2,7.3
2251162135,ATTT101,8.6,7.5,8.1
2251162136,CNPM101,7.8,6.9,7.4
2251162136,TTNT101,8.2,8.4,8.3
2251162137,CNPM101,6.5,7.7,7.1
2251162137,ATTT101,8.0,9.1,8.6
2251162138,CNPM101,7.3,6.8,7.1
2251162138,TTNT101,8.4,8.2,8.3
2251162139,ATTT101,6.9,7.5,7.2
2251162139,CNPM102,8.7,9.0,8.9
2251162140,HTTT101,7.6,6.4,7.0
2251162140,CNPM101,8.1,7.9,8.0
2251162141,ATTT101,6.2,8.5,7.4
2251162141,HTTT101,7.9,7.3,7.6
2251162142,TTNT101,8.5,6.7,7.6
2251162142,HTTT101,7.1,9.0,8.1
2251162143,ATTT101,6.4,8.2,7.3
2251162143,HTTT101,8.6,7.5,8.1
2251162144,CNPM101,7.8,6.9,7.4
2251162144,TTNT101,8.2,8.4,8.3
2251162145,HTTT101,6.5,7.7,7.1
2251162145,CNPM101,8.0,9.1,8.6
2251162146,ATTT101,7.3,6.8,7.1
2251162146,CNPM102,8.4,8.2,8.3
2251162147,CNPM101,6.9,7.5,7.2
2251162147,TTNT101,8.7,9.0,8.9
2251162148,CNPM101,7.6,6.4,7.0
2251162148,ATTT101,8.1,7.9,8.0
2251162149,HTTT101,6.2,8.5,7.4
2251162149,ATTT101,7.9,7.3,7.6
2251162150,CNPM101,8.5,6.7,7.6
2251162150,HTTT101,7.1,9.0,8.1
2251162151,HTTT101,6.4,8.2,7.3
2251162151,CNPM101,8.6,7.5,8.1
2251162152,HTTT101,7.8,6.9,7.4
2251162152,CNPM101,8.2,8.4,8.3
2251162153,CNPM101,6.5,7.7,7.1
2251162153,TTNT101,8.0,9.1,8.6
2251162154,ATTT101,7.3,6.8,7.1
2251162154,HTTT101,8.4,8.2,8.3
2251162155,CNPM101,6.9,7.5,7.2
2251162155,HTTT101,8.7,9.0,8.9
2251162156,ATTT101,7.6,6.4,7.0
2251162156,HTTT101,8.1,7.9,8.0
2251162157,ATTT101,6.2,8.5,7.4
2251162157,HTTT101,7.9,7.3,7.6
2251162158,CNPM101,8.5,6.7,7.6
2251162158,ATTT101,7.1,9.0,8.1
2251162159,CNPM101,6.4,8.2,7.3
2251162159,TTNT101,8.6,7.5,8.1
2251162160,ATTT101,7.8,6.9,7.4
2251162160,HTTT101,8.2,8.4,8.3
2251162161,CNPM101,6.5,7.7,7.1
2251162161,ATTT101,8.0,9.1,8.6
2251162162,CNPM101,7.3,6.8,7.1
2251162162,TTNT101,8.4,8.2,8.3
2251162163,HTTT101,6.9,7.5,7.2
2251162163,CNPM101,8.7,9.0,8.9
2251162164,CNPM101,7.6,6.4,7.0
2251162164,ATTT101,8.1,7.9,8.0
2251162165,CNPM101,6.2,8.5,7.4
2251162165,ATTT101,7.9,7.3,7.6
2251162166,HTTT101,8.5,6.7,7.6
2251162166,ATTT101,7.1,9.0,8.1
2251162167,CNPM101,6.4,8.2,7.3
2251162167,TTNT101,8.6,7.5,8.1
2251162168,CNPM101,7.8,6.9,7.4
2251162168,HTTT101,8.2,8.4,8.3
2251162169,HTTT101,6.5,7.7,7.1
2251162169,CNPM101,8.0,9.1,8.6
2251162170,CNPM101,7.3,6.8,7.1
2251162170,HTTT101,8.4,8.2,8.3
2251162171,HTTT101,6.9,7.5,7.2
2251162171,ATTT101,8.7,9.0,8.9
2251162172,CNPM101,7.6,6.4,7.0
2251162172,HTTT101,8.1,7.9,8.0
2251162173,CNPM101,6.2,8.5,7.4
2251162173,ATTT101,7.9,7.3,7.6
2251162174,HTTT101,8.5,6.7,7.6
2251162174,ATTT101,7.1,9.0,8.1
2251162175,ATTT101,6.4,8.2,7.3
2251162175,HTTT101,8.6,7.5,8.1
2251162176,HTTT101,7.8,6.9,7.4
2251162176,CNPM101,8.2,8.4,8.3
2251162177,HTTT101,6.5,7.7,7.1
2251162177,ATTT101,8.0,9.1,8.6
2251162178,CNPM101,7.3,6.8,7.1
2251162178,TTNT101,8.4,8.2,8.3
2251162179,HTTT101,6.9,7.5,7.2
2251162179,ATTT101,8.7,9.0,8.9
2251162180,ATTT101,7.6,6.4,7.0
2251162180,HTTT101,8.1,7.9,8.0
2251162181,CNPM101,6.2,8.5,7.4
2251162181,HTTT101,7.9,7.3,7.6
2251162182,HTTT101,8.5,6.7,7.6
2251162182,CNPM101,7.1,9.0,8.1
2251162183,CNPM101,6.4,8.2,7.3
2251162183,HTTT101,8.6,7.5,8.1
2251162184,CNPM101,7.8,6.9,7.4
2251162184,ATTT101,8.2,8.4,8.3
2251162185,HTTT101,6.5,7.7,7.1
2251162185,CNPM101,8.0,9.1,8.6
2251162186,ATTT101,7.3,6.8,7.1
2251162186,HTTT101,8.4,8.2,8.3
2251162187,HTTT101,6.9,7.5,7.2
2251162187,ATTT101,8.7,9.0,8.9
2251162188,CNPM101,7.6,6.4,7.0
2251162188,HTTT101,8.1,7.9,8.0
2251162189,CNPM101,6.2,8.5,7.4
2251162189,ATTT101,7.9,7.3,7.6
2251162190,ATTT101,8.5,6.7,7.6
2251162190,HTTT101,7.1,9.0,8.1
2251162191,CNPM101,6.4,8.2,7.3
2251162191,ATTT101,8.6,7.5,8.1
2251162192,CNPM101,7.8,6.9,7.4
2251162192,ATTT101,8.2,8.4,8.3
2251162193,ATTT101,6.5,7.7,7.1
2251162193,HTTT101,8.0,9.1,8.6
2251162194,ATTT101,7.3,6.8,7.1
2251162194,HTTT101,8.4,8.2,8.3
2251162195,CNPM101,6.9,7.5,7.2
2251162195,HTTT101,8.7,9.0,8.9
2251162196,CNPM101,7.6,6.4,7.0
2251162196,HTTT101,8.1,7.9,8.0
2251162197,CNPM101,6.2,8.5,7.4
2251162197,HTTT101,7.9,7.3,7.6
2251162198,ATTT101,8.5,6.7,7.6
2251162198,HTTT101,7.1,9.0,8.1
2251162199,ATTT101,6.4,8.2,7.3
2251162199,HTTT102,8.6,7.5,8.1